year,ds,yhat,yhat_lower,yhat_upper
1994,1994-01-01,182.5725,182.5725,182.5725
1995,1995-01-01,188.1425,188.1425,188.1425
1996,1996-01-01,194.63,194.63,194.63
1997,1997-01-01,201.145,201.145,201.145
1998,1998-01-01,211.4525,211.4525,211.4525
1999,1999-01-01,221.8475,221.8475,221.8475
2000,2000-01-01,236.0375,236.0375,236.0375
2001,2001-01-01,253.695,253.695,253.695
2002,2002-01-01,269.7575,269.7575,269.7575
2003,2003-01-01,286.58,286.58,286.58
2004,2004-01-01,313.4525,313.4525,313.4525
2005,2005-01-01,349.045,349.045,349.045
2006,2006-01-01,374.0525,374.0525,374.0525
2007,2007-01-01,378.215,378.215,378.215
2008,2008-01-01,358.775,358.775,358.775
2009,2009-01-01,338.855,338.855,338.855
2010,2010-01-01,325.0225,325.0225,325.0225
2011,2011-01-01,312.47,312.47,312.47
2012,2012-01-01,311.64,311.64,311.64
2013,2013-01-01,323.325,323.325,323.325
2014,2014-01-01,339.4525,339.4525,339.4525
2015,2015-01-01,356.885,356.885,356.885
2016,2016-01-01,375.54,375.54,375.54
2017,2017-01-01,395.8925,395.8925,395.8925
2018,2018-01-01,417.81,417.81,417.81
2019,2019-01-01,437.17,437.17,437.17
2020,2020-01-01,459.7325,459.7325,459.7325
2021,2021-01-01,522.915,522.915,522.915
2022,2022-01-01,610.96,610.96,610.96
2023,2023-01-01,646.23,646.23,646.23
2024,2024-01-01,564.7138262471265,530.2435218205287,601.1380985594445
2025,2025-01-01,575.8491677679303,539.8486814684859,611.9692474771374
2026,2026-01-01,578.8466903822908,542.5190778069245,612.8958597775068
2027,2027-01-01,587.782164794226,552.0828593705576,620.865955838209
2028,2028-01-01,601.5898762210556,563.6822330482769,635.7247145208783
2029,2029-01-01,617.5974547567539,581.6828091384564,652.2422478741951
2030,2030-01-01,633.5672039460771,598.710841608635,670.3519146271791
2031,2031-01-01,647.3749153729068,612.4677076700369,685.1196758195259
2032,2032-01-01,668.2169015771244,632.3126563308787,705.7137780159167
2033,2033-01-01,682.0624423503289,648.7796931687834,718.7164540874373
2034,2034-01-01,695.8701537771584,659.8233786753933,733.1045900801613
2035,2035-01-01,709.677865203988,677.5580861061612,747.2725100585212
2036,2036-01-01,723.4855766308175,687.3738450973015,760.4644524004825
2037,2037-01-01,737.3311174040219,702.0720279624829,776.326405704434
2038,2038-01-01,751.1388288308516,714.5747377216592,786.8382984334439
2039,2039-01-01,764.946540257681,727.4379827239167,801.8060165589694
2040,2040-01-01,778.7542516845106,741.0222314276277,812.441900654635
2041,2041-01-01,794.7618302202088,760.1194160897292,829.5668560164985
2042,2042-01-01,808.5695416470385,771.796091206779,847.1722242007991
2043,2043-01-01,822.377253073868,786.1536844005728,856.2697099946463
2044,2044-01-01,836.1849645006974,801.5331910641171,873.5955503796605
2045,2045-01-01,850.0305052739019,812.9976108784872,886.7610922846532
2046,2046-01-01,863.8382167007314,827.2886399584731,899.6483328340954
2047,2047-01-01,879.8079658900548,844.931112473033,915.9147341637555
2048,2048-01-01,893.6156773168844,858.2829980018098,928.8993984911255
2049,2049-01-01,907.4612180900888,872.6298278191391,943.5716525258857
2050,2050-01-01,921.2689295169184,883.239445004622,958.8024709709371
2051,2051-01-01,935.0766409437479,896.8792136413114,970.0187842099695
2052,2052-01-01,951.0463901330713,914.6312373022142,987.838211107009
2053,2053-01-01,964.8919309062758,930.2163210068222,1000.3738226848441
2054,2054-01-01,978.6996423331053,943.4341606473758,1014.8422621408786
